Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,DRAFTED,YEAR,YRDrafted,YearInLeague,DraftedTeam
1,Tyreek Hill (MIA),87,137,"1,479",17,75,55,12,22,151,1,0,16,284.5,17.8,99.90%,5,2018,2016,3,Chiefs
2,DeAndre Hopkins (ARI),115,163,"1,572",13.7,49,36,11,1,-7,0,2,16,276,17.3,95.80%,1,2018,2013,6,Texans
3,Davante Adams (LV),111,169,"1,386",12.5,57,33,13,0,0,0,0,15,274.1,18.3,99.90%,2,2018,2014,5,Packers
4,Antonio Brown (FA),104,168,"1,297",12.5,78,33,15,0,0,0,0,15,271.7,18.1,0.30%,6,2018,2010,9,Steelers
5,Julio Jones (FA),113,170,"1,677",14.8,58,37,8,2,12,0,2,16,269.4,16.8,7.40%,1,2018,2011,8,Falcons
6,Michael Thomas (NO),125,147,"1,405",11.2,72,28,9,0,0,0,2,16,253,15.8,52.70%,2,2018,2016,3,Saints
7,Adam Thielen (CAR),113,153,"1,373",12.2,68,28,9,5,30,0,1,16,250.8,15.7,85.00%,8,2018,2013,6,Vikings
8,JuJu Smith-Schuster (NE),111,166,"1,426",12.8,97,33,7,1,13,0,1,16,241.4,15.1,89.60%,2,2018,2017,2,Steelers
9,Mike Evans (TB),86,138,"1,524",17.7,72,47,8,0,0,0,1,16,241.4,15.1,94.70%,1,2018,2014,5,Buccaneers
10,Robert Woods (HOU),86,130,"1,219",14.2,39,27,6,19,157,1,0,16,222.6,13.9,26.70%,2,2018,2013,6,Bills
11,Stefon Diggs (BUF),102,149,"1,021",10,75,21,9,10,62,0,0,15,215.3,14.4,99.90%,5,2018,2015,4,Vikings
12,Keenan Allen (LAC),97,136,"1,196",12.3,54,17,6,9,75,0,1,16,211.6,13.2,98.50%,3,2018,2013,6,Chargers
13,Brandin Cooks (DAL),80,117,"1,204",15.1,57,34,5,10,68,1,0,16,203.2,12.7,72.00%,1,2018,2014,5,Saints
14,T.Y. Hilton (FA),76,120,"1,270",16.7,68,43,6,0,0,0,0,14,201,14.4,1.60%,3,2018,2012,7,Colts
15,Tyler Lockett (SEA),57,70,965,16.9,52,35,10,13,69,0,0,16,193.9,12.1,91.80%,3,2018,2015,4,Seahawks
16,Odell Beckham Jr. (BAL),77,124,"1,052",13.7,51,29,6,5,19,0,1,12,191.9,16,44.50%,1,2018,2014,5,Giants
17,Tyler Boyd (CIN),76,108,"1,028",13.5,49,26,7,2,3,0,0,14,183.1,13.1,46.80%,2,2018,2016,3,Bengals
18,Amari Cooper (CLE),75,107,"1,005",13.4,90,21,7,2,20,0,2,15,178,11.9,95.20%,1,2018,2015,4,Raiders
19,Jarvis Landry (FA),81,149,976,12,51,20,4,3,60,1,1,16,176.6,11,7.30%,2,2018,2014,5,Dolphins
20,Calvin Ridley (JAC),64,92,821,12.8,75,24,10,6,27,0,1,16,174.8,10.9,45.50%,1,2018,2018,1,Falcons
21,Kenny Golladay (FA),70,119,"1,063",15.2,60,29,5,1,8,0,0,15,172.1,11.5,2.20%,3,2018,2017,2,Lions
22,Julian Edelman (FA),74,108,850,11.5,36,17,6,9,107,0,0,12,170.4,14.2,12.10%,7,2018,2009,10,Patriots
23,Emmanuel Sanders (FA),71,98,868,12.2,64,25,4,4,53,1,0,12,162.7,13.6,0.00%,3,2018,2010,9,Steelers
24,Mike Williams (LAC),43,66,664,15.4,55,18,10,7,28,1,0,16,158.7,9.9,93.40%,1,2018,2017,2,Chargers
