Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,DRAFTED,YEAR,YRDrafted,YearInLeague,DraftedTeam
1,Demaryius Thomas (FA),92,142,1430,15.5,78,19,14,0,0,0,0,16,273.0,17.1,0.10%,1,2013,2010,4,Broncos
2,Josh Gordon (FA),87,159,1646,18.9,95,30,9,5,88,0,0,14,270.9,19.4,0.00%,2,2013,2012,2,Browns
3,Calvin Johnson (FA),84,157,1492,17.8,87,22,12,0,0,0,1,14,261.2,18.7,0.10%,1,2013,2007,7,Lions
4,A.J. Green (FA),98,178,1426,14.6,82,18,11,0,0,0,0,16,257.6,16.1,0.60%,1,2013,2011,3,Bengals
5,Brandon Marshall (FA),100,163,1295,13.0,44,16,12,0,0,0,0,16,255.5,16.0,2.60%,4,2013,2006,8,Broncos
6,Antonio Brown (FA),110,166,1499,13.6,56,23,8,7,4,0,0,16,253.9,15.9,0.30%,6,2013,2010,4,Steelers
7,Dez Bryant (FA),93,160,1233,13.3,79,14,13,1,1,0,1,16,245.9,15.4,2.60%,1,2013,2010,4,Cowboys
8,Alshon Jeffery (FA),89,150,1421,16.0,80,20,7,16,105,0,1,16,239.1,14.9,0.00%,2,2013,2012,2,Bears
9,Eric Decker (FA),87,136,1288,14.8,61,19,11,0,0,0,1,16,236.3,14.8,0.60%,3,2013,2010,4,Broncos
10,DeSean Jackson (FA),82,125,1332,16.2,61,25,9,3,2,0,0,16,228.4,14.3,0.60%,2,2013,2008,6,Eagles
11,Andre Johnson (FA),109,181,1407,12.9,62,20,5,0,0,0,0,16,225.2,14.1,0.00%,1,2013,2003,11,Texans
12,Jordy Nelson (FA),85,127,1314,15.5,76,22,8,0,0,0,0,16,221.9,13.9,0.10%,2,2013,2008,6,Packers
13,Pierre Garcon (FA),113,181,1346,11.9,53,16,5,2,19,0,1,16,221.0,13.8,0.00%,6,2013,2008,6,Colts
14,Anquan Boldin (FA),85,129,1179,13.9,63,19,7,2,11,0,0,16,203.5,12.7,0.10%,2,2013,2003,11,Cardinals
15,Vincent Jackson (FA),78,160,1224,15.7,60,19,7,1,0,0,0,16,203.4,12.7,0.00%,2,2013,2005,9,Chargers
16,Julian Edelman (FA),105,151,1056,10.1,44,9,6,2,11,0,0,16,199.2,12.5,12.10%,7,2013,2009,5,Patriots
17,Larry Fitzgerald (FA),82,134,954,11.6,75,11,10,2,8,0,1,16,195.2,12.2,0.20%,1,2013,2004,10,Cardinals
18,Keenan Allen (LAC),71,104,1046,14.7,43,16,8,0,0,0,2,15,184.1,12.3,98.50%,3,2013,2013,1,Chargers
19,T.Y. Hilton (FA),82,138,1083,13.2,73,13,5,2,6,0,0,16,179.9,11.2,1.60%,3,2013,2012,2,Colts
20,Wes Welker (FA),73,111,778,10.7,33,12,10,0,0,0,1,13,172.3,13.3,0.00%,8,2013,2004,10,Chargers
21,Torrey Smith (FA),65,137,1128,17.4,74,20,4,0,0,0,0,16,171.3,10.7,0.00%,2,2013,2011,3,Ravens
22,Kendall Wright (FA),94,140,1079,11.5,45,17,2,0,0,0,0,16,166.9,10.4,0.00%,1,2013,2012,2,Titans
23,Michael Floyd (FA),65,112,1041,16.0,91,17,5,0,0,0,0,16,166.6,10.4,0.00%,1,2013,2012,2,Cardinals
24,Brian Hartline (FA),76,133,1016,13.4,50,14,4,0,0,0,0,16,163.6,10.2,0.00%,4,2013,2009,5,Dolphins
1,Antonio Brown (FA),129,181,1698,13.2,63,19,13,4,13,0,2,16,316.4,19.8,0.30%,6,2014,2010,5,Steelers
2,Demaryius Thomas (FA),111,184,1619,14.6,86,25,11,0,0,0,0,16,285.4,17.8,0.10%,1,2014,2010,5,Broncos
3,Jordy Nelson (FA),98,151,1519,15.5,80,19,13,0,0,0,0,16,278.9,17.4,0.10%,2,2014,2008,7,Packers
4,Dez Bryant (FA),88,137,1320,15.0,68,22,16,0,0,0,0,16,272.0,17.0,2.60%,1,2014,2010,5,Cowboys
5,Emmanuel Sanders (FA),101,141,1404,13.9,48,24,9,8,44,0,0,16,251.3,15.7,0.00%,3,2014,2010,5,Steelers
6,Odell Beckham Jr. (BAL),91,130,1305,14.3,80,16,12,7,35,0,1,12,249.5,20.8,44.50%,1,2014,2014,1,Giants
7,Randall Cobb (FA),91,127,1287,14.1,70,24,12,11,37,0,2,16,247.9,15.5,2.70%,2,2014,2011,4,Packers
8,Julio Jones (FA),104,163,1593,15.3,79,31,6,1,1,0,1,15,245.4,16.4,7.40%,1,2014,2011,4,Falcons
9,Jeremy Maclin (FA),85,143,1318,15.5,72,21,10,0,0,0,0,16,234.3,14.6,0.00%,1,2014,2009,6,Eagles
10,Alshon Jeffery (FA),85,145,1133,13.3,74,17,10,6,33,0,0,16,219.1,13.7,0.00%,2,2014,2012,3,Bears
11,T.Y. Hilton (FA),82,131,1345,16.4,73,21,7,2,20,0,1,15,217.5,14.5,1.60%,3,2014,2012,3,Colts
12,Mike Evans (TB),68,123,1051,15.5,56,20,12,0,0,0,0,15,211.1,14.1,94.70%,1,2014,2014,1,Buccaneers
13,Golden Tate (FA),99,144,1331,13.4,73,17,4,5,30,0,0,16,209.6,13.1,0.00%,2,2014,2010,5,Seahawks
14,DeAndre Hopkins (ARI),76,127,1210,15.9,76,20,6,0,0,0,1,16,193.0,12.1,95.80%,1,2014,2013,2,Texans
15,Calvin Johnson (FA),71,128,1077,15.2,67,16,8,0,0,0,0,13,191.2,14.7,0.10%,1,2014,2007,8,Lions
16,Kelvin Benjamin (FA),73,145,1008,13.8,51,14,9,0,0,0,1,16,189.3,11.8,0.10%,1,2014,2014,1,Panthers
17,DeSean Jackson (FA),56,95,1169,20.9,81,16,6,4,7,0,0,15,181.6,12.1,0.60%,2,2014,2008,7,Eagles
18,Steve Smith (FA),79,134,1065,13.5,80,15,6,0,0,0,1,16,180.0,11.3,0.00%,3,2014,2001,14,Panthers
19,Mike Wallace (FA),67,115,862,12.9,50,10,10,4,16,0,1,16,179.3,11.2,0.00%,3,2014,2009,6,Steelers
20,Anquan Boldin (FA),83,131,1062,12.8,76,14,5,1,4,0,0,16,178.1,11.1,0.10%,2,2014,2003,12,Cardinals
21,Julian Edelman (FA),92,134,972,10.6,69,7,4,10,94,0,0,14,176.6,12.6,12.10%,7,2014,2009,6,Patriots
22,Brandon LaFell (FA),74,119,953,12.9,56,10,7,2,13,0,1,16,173.6,10.9,0.00%,3,2014,2010,5,Panthers
23,Roddy White (FA),80,125,921,11.5,39,14,7,0,0,0,1,14,172.1,12.3,0.00%,1,2014,2005,10,Falcons
24,A.J. Green (FA),69,116,1041,15.1,81,13,6,2,2,0,2,13,170.8,13.1,0.60%,1,2014,2011,4,Bengals
1,Antonio Brown (FA),136,193,1834,13.5,59,25,10,3,28,0,2,16,314.2,19.6,0.30%,6,2015,2010,6,Steelers
2,Julio Jones (FA),136,203,1871,13.8,70,25,8,0,0,0,1,16,301.1,18.8,7.40%,1,2015,2011,5,Falcons
3,Brandon Marshall (FA),109,173,1502,13.8,69,19,14,0,0,0,2,16,284.7,17.8,2.60%,4,2015,2006,10,Broncos
4,DeAndre Hopkins (ARI),111,192,1521,13.7,61,19,11,0,0,0,0,16,275.6,17.2,95.80%,1,2015,2013,3,Texans
5,Odell Beckham Jr. (BAL),96,158,1450,15.1,87,19,13,1,3,0,0,15,271.3,18.1,44.50%,1,2015,2014,2,Giants
6,Allen Robinson II (PIT),80,151,1400,17.5,90,31,14,0,0,0,0,16,264.0,16.5,19.70%,2,2015,2014,2,Jaguars
7,A.J. Green (FA),86,132,1297,15.1,80,19,10,0,0,0,1,16,230.7,14.4,0.60%,1,2015,2011,5,Bengals
8,Doug Baldwin (FA),78,103,1069,13.7,80,16,14,0,0,0,0,16,229.9,14.4,0.00%,8,2015,2011,5,Seahawks
9,Larry Fitzgerald (FA),109,145,1215,11.1,44,17,9,0,0,0,2,16,226.0,14.1,0.20%,1,2015,2004,12,Cardinals
10,Calvin Johnson (FA),88,149,1214,13.8,57,16,9,0,0,0,1,16,217.4,13.6,0.10%,1,2015,2007,9,Lions
11,Demaryius Thomas (FA),105,177,1304,12.4,72,14,6,0,0,0,2,16,214.9,13.4,0.10%,1,2015,2010,6,Broncos
12,Jarvis Landry (FA),110,166,1157,10.5,50,10,4,18,113,1,0,16,214.4,13.4,7.30%,2,2015,2014,2,Dolphins
13,Eric Decker (FA),80,132,1027,12.8,35,16,12,0,0,0,1,15,212.7,14.2,0.60%,3,2015,2010,6,Broncos
14,Brandin Cooks (DAL),84,129,1138,13.5,71,18,9,8,18,0,0,16,211.6,13.2,72.00%,1,2015,2014,2,Saints
15,Jeremy Maclin (FA),87,124,1088,12.5,61,14,8,3,14,0,1,15,199.7,13.3,0.00%,1,2015,2009,7,Eagles
16,Allen Hurns (FA),64,105,1031,16.1,80,19,10,0,0,0,1,15,193.1,12.9,0.00%,8,2015,2014,2,Jaguars
17,Sammy Watkins (FA),60,96,1047,17.5,63,18,9,1,1,0,0,13,188.8,14.5,1.60%,1,2015,2014,2,Bills
18,Michael Crabtree (FA),85,146,922,10.8,38,15,9,0,0,0,0,16,188.7,11.8,0.00%,1,2015,2009,7,49ers
19,Jordan Matthews (FA),85,128,997,11.7,78,14,8,0,0,0,1,16,188.2,11.8,0.00%,2,2015,2014,2,Eagles
20,Emmanuel Sanders (FA),76,137,1135,14.9,75,12,6,3,29,0,2,15,186.4,12.4,0.00%,3,2015,2010,6,Steelers
21,T.Y. Hilton (FA),69,134,1124,16.3,87,17,5,0,0,0,0,16,176.9,11.1,1.60%,3,2015,2012,4,Colts
22,Amari Cooper (CLE),72,130,1070,14.9,68,16,6,3,-3,0,1,16,176.7,11.0,95.20%,1,2015,2015,1,Raiders
23,John Brown (FA),65,101,1003,15.4,68,11,7,3,22,0,1,15,175.0,11.7,0.00%,3,2015,2014,2,Cardinals
24,Mike Evans (TB),74,148,1206,16.3,68,21,3,0,0,0,1,15,173.6,11.6,94.70%,1,2015,2014,2,Buccaneers
1,Jordy Nelson (FA),97,152,1257,13.0,60,19,14,0,0,0,1,16,256.2,16.0,0.10%,2,2016,2008,9,Packers
2,Mike Evans (TB),96,173,1321,13.8,45,15,12,0,0,0,0,16,256.1,16.0,94.70%,1,2016,2014,3,Buccaneers
3,Antonio Brown (FA),106,154,1284,12.1,51,22,12,3,9,0,0,15,254.3,17.0,0.30%,6,2016,2010,7,Steelers
4,Odell Beckham Jr. (BAL),101,169,1367,13.5,75,20,10,1,9,0,1,16,246.1,15.4,44.50%,1,2016,2014,3,Giants
5,T.Y. Hilton (FA),91,155,1448,15.9,63,28,6,0,0,0,0,16,228.3,14.3,1.60%,3,2016,2012,5,Colts
6,Julio Jones (FA),83,129,1409,17.0,75,27,6,0,0,0,0,14,218.4,15.6,7.40%,1,2016,2011,6,Falcons
7,Michael Thomas (NO),92,121,1137,12.4,46,18,9,0,0,0,2,15,209.7,14.0,52.70%,2,2016,2016,1,Saints
8,Davante Adams (LV),75,121,997,13.3,66,17,12,0,0,0,1,16,209.2,13.1,99.90%,2,2016,2014,3,Packers
9,Brandin Cooks (DAL),78,117,1173,15.0,98,15,8,6,30,0,0,16,207.3,13.0,72.00%,1,2016,2014,3,Saints
10,Doug Baldwin (FA),94,125,1128,12.0,59,16,7,3,2,0,0,16,206.6,12.9,0.00%,8,2016,2011,6,Seahawks
11,Michael Crabtree (FA),89,145,1003,11.3,56,10,8,0,0,0,0,16,194.8,12.2,0.00%,1,2016,2009,8,49ers
12,Amari Cooper (CLE),83,132,1153,13.9,64,21,5,1,0,0,0,16,190.8,11.9,95.20%,1,2016,2015,2,Raiders
13,Larry Fitzgerald (FA),107,150,1023,9.6,32,8,6,2,5,0,1,16,190.3,11.9,0.20%,1,2016,2004,13,Cardinals
14,Jarvis Landry (FA),94,131,1136,12.1,71,16,4,5,17,0,2,16,184.3,11.5,7.30%,2,2016,2014,3,Dolphins
15,Tyrell Williams (FA),69,119,1059,15.3,51,19,7,0,0,0,0,16,182.4,11.4,0.00%,8,2016,2015,2,Chargers
16,Demaryius Thomas (FA),90,144,1083,12.0,55,10,5,0,0,0,2,16,181.3,11.3,0.10%,1,2016,2010,7,Broncos
17,Julian Edelman (FA),98,159,1106,11.3,77,11,3,12,57,0,2,16,181.3,11.3,12.10%,7,2016,2009,8,Patriots
18,Rishard Matthews (FA),65,108,945,14.5,60,16,9,0,0,0,1,16,179.0,11.2,0.00%,7,2016,2012,5,Dolphins
19,Golden Tate (FA),91,135,1077,11.8,67,13,4,10,4,0,1,16,177.6,11.1,0.00%,2,2016,2010,7,Seahawks
20,Terrelle Pryor Sr. (FA),77,140,1007,13.1,54,11,4,8,21,1,0,16,174.9,10.9,0.00%,3,2016,2011,6,Raiders
21,Emmanuel Sanders (FA),79,137,1032,13.1,64,12,5,1,4,0,0,16,173.1,10.8,0.00%,3,2016,2010,7,Steelers
22,Tyreek Hill (MIA),61,83,593,9.7,49,8,6,24,267,3,1,16,168.5,10.5,99.90%,5,2016,2016,1,Chiefs
23,Mike Wallace (FA),72,116,1017,14.1,95,10,4,5,31,0,0,16,166.8,10.4,0.00%,3,2016,2009,8,Steelers
24,Kelvin Benjamin (FA),63,118,941,14.9,50,10,7,0,0,0,1,16,165.6,10.4,0.10%,1,2016,2014,3,Panthers
1,DeAndre Hopkins (ARI),96,174,1378,14.4,72,24,13,0,0,0,1,15,261.8,17.5,95.80%,1,2017,2013,5,Texans
2,Antonio Brown (FA),101,163,1533,15.2,57,27,9,0,0,0,0,14,259.8,18.6,0.30%,6,2017,2010,8,Steelers
3,Keenan Allen (LAC),102,159,1393,13.7,51,18,6,2,9,0,0,16,227.2,14.2,98.50%,3,2017,2013,5,Chargers
4,Julio Jones (FA),88,148,1444,16.4,53,23,3,1,15,0,0,16,207.9,13.0,7.40%,1,2017,2011,7,Falcons
5,Larry Fitzgerald (FA),109,161,1156,10.6,37,16,6,0,0,0,1,16,206.9,12.9,0.20%,1,2017,2004,14,Cardinals
6,Michael Thomas (NO),104,149,1245,12.0,43,22,5,0,0,0,0,16,206.5,12.9,52.70%,2,2017,2016,2,Saints
7,Jarvis Landry (FA),112,161,987,8.8,49,6,9,1,-7,0,2,16,204.0,12.8,7.30%,2,2017,2014,4,Dolphins
8,Tyreek Hill (MIA),75,105,1183,15.8,79,15,7,17,59,0,0,15,201.7,13.4,99.90%,5,2017,2016,2,Chiefs
